Timestamp,Your Age: ,Gender,Highest Educational Qualification,Employment Status,Family Income Category,Number of Family Members,Are you aware about the Environmental Laws at local or national level? ,On a scale of 1 - 5 please rate what you think about the the necessity of  the Environmental Laws (1 means you do not agree and 5 means you agree strongly),Do you think Environmental Laws are enforced efficiently?,Have you ever got your self into trouble because of non compliance of Environmental Laws?,Do you try to follow Environmental Laws consciously? ,Are you aware about the monetary penalties due to non compliance of Environmental Laws?,"On a scale of 1 -5 please rate how you feel about the statement ""Monetary Penalties for violation of Environmental Laws is good.""",What do you think is a better way to enforce Environmental Laws efficiently?
9/29/2021 8:26:24,18,Male,12th,Student,Upper Middle Class,4,Maybe,5,No,No,Yes,Yes,3,Increasing the penalty for violation
9/29/2021 8:36:36,Rahul Barnwal,Male,Graduate,Student,Lower Middle Class,4,Maybe,5,No,No,Maybe,No,2,"Educating people more on the broader aspects like ""Why is environment protection even needed?"""""
9/29/2021 8:38:38,27,Female,Graduate,Full Time Job,Upper Middle Class,4,Maybe,5,Maybe,No,Yes,No,5,"Educating people more on the broader aspects like ""Why is environment protection even needed?"""""
9/29/2021 8:38:48,15,Female,10th,Student,Upper Middle Class,5,Yes,5,No,No,Yes,Yes,5,"Making sepearte bodies to maitain environmental laws, just like police for civil laws"
9/29/2021 8:40:01,21,Male,Graduate,Student,Lower Middle Class,4,No,5,No,No,Yes,No,5,"Educating people more on the broader aspects like ""Why is environment protection even needed?"""""
9/29/2021 8:40:07,19,Male,12th,Student,Lower Middle Class,5,Yes,5,No,Maybe,Maybe,No,5,"Making sepearte bodies to maitain environmental laws, just like police for civil laws"
9/29/2021 8:41:29,19,Male,12th,Student,EWS,3,No,5,No,No,Maybe,No,3,"Making sepearte bodies to maitain environmental laws, just like police for civil laws"
9/29/2021 8:42:19,19,Male,12th,Student,Lower Middle Class,6,No,5,No,No,Maybe,Yes,5,"Educating people more on the broader aspects like ""Why is environment protection even needed?"""""
9/29/2021 8:43:36,18,Male,12th,Student,Upper Middle Class,4,Maybe,5,No,No,Yes,No,3,"Making sepearte bodies to maitain environmental laws, just like police for civil laws"
9/29/2021 8:45:13,19,Male,12th,Student,EWS,4,No,5,No,Yes,No,No,4,"Educating people more on the broader aspects like ""Why is environment protection even needed?"""""
9/29/2021 8:45:44,19,Female,Graduate,Student,Upper Middle Class,5,Yes,5,Maybe,No,Yes,No,5,Increasing the penalty for violation
9/29/2021 8:50:05,20,Male,12th,Student,EWS,8,Maybe,4,No,No,Maybe,Yes,5,Force politician & corporates to make better policies or get vote out/see significant losse + invest R&D of new better technologies
9/29/2021 8:50:41,22,Male,Graduate,Student,Lower Middle Class,4,Yes,5,No,No,Yes,No,5,"Educating people more on the broader aspects like ""Why is environment protection even needed?"""""
9/29/2021 8:57:18,Shubham Anand,Male,12th,Student,Lower Middle Class,6,Maybe,5,No,Maybe,Yes,No,4,"Making sepearte bodies to maitain environmental laws, just like police for civil laws"
9/29/2021 8:57:30,25,Male,Graduate,Student,Lower Middle Class,4,Maybe,3,No,No,Yes,No,2,"Educating people more on the broader aspects like ""Why is environment protection even needed?"""""
9/29/2021 9:05:44,25,Male,Graduate,Student,Lower Middle Class,6,Yes,5,No,No,Yes,Maybe,4,"Educating people more on the broader aspects like ""Why is environment protection even needed?"""""
9/29/2021 9:07:23,19,Male,12th,Student,Upper Middle Class,6,Maybe,5,No,No,Yes,No,5,"Educating people more on the broader aspects like ""Why is environment protection even needed?"""""
9/29/2021 9:34:30,21,Male,Graduate,Student,Lower Middle Class,16,Maybe,5,Yes,No,Yes,No,3,Educating people better on the need of Environmental Laws
9/29/2021 10:00:14,18,Male,12th,Student,EWS,5,No,5,Maybe,No,No,No,3,"Educating people more on the broader aspects like ""Why is environment protection even needed?"""""
9/29/2021 10:00:52,19,Male,12th,Student,Lower Middle Class,4,Maybe,3,No,No,No,No,4,"Making sepearte bodies to maitain environmental laws, just like police for civil laws"
9/29/2021 10:06:37,20,Male,12th,Student,Lower Middle Class,5,Maybe,5,Maybe,Maybe,No,No,4,"Making sepearte bodies to maitain environmental laws, just like police for civil laws"
9/29/2021 10:10:32,20,Male,12th,Student,EWS,3,No,4,No,No,Maybe,No,3,"Making sepearte bodies to maitain environmental laws, just like police for civil laws"
9/29/2021 10:17:11,20,Male,12th,Student,Lower Middle Class,8,No,3,Maybe,Maybe,Maybe,Maybe,3,"Making sepearte bodies to maitain environmental laws, just like police for civil laws"
9/29/2021 10:24:25,20,Male,Graduate,Student,Lower Middle Class,4,No,4,No,No,Maybe,No,4,"Making sepearte bodies to maitain environmental laws, just like police for civil laws"
9/29/2021 10:58:23,21,Male,Graduate,Student,Lower Middle Class,8,Yes,5,No,No,Yes,Yes,4,"Educating people more on the broader aspects like ""Why is environment protection even needed?"""""
9/29/2021 11:13:04,19,Male,12th,Student,Lower Middle Class,6,Maybe,5,No,No,Yes,Maybe,3,"Educating people more on the broader aspects like ""Why is environment protection even needed?"""""
9/29/2021 12:20:22,19,Male,12th,Student,Upper Middle Class,3,Yes,5,No,No,Yes,No,5,Monetary penalty for violation already exists but no one cares about it and even if govt makes a governing body they won't be able to control the mindset of the people who takes environment for granted. I think making a law like one day forced labouring without any compensation irrespective of the class or status is a good solution.
9/29/2021 12:43:28,17,Male,12th,Student,Upper Middle Class,4,Maybe,5,No,No,Yes,No,5,"Educating people more on the broader aspects like ""Why is environment protection even needed?"""""
9/29/2021 12:50:54,20,Prefer not to say,12th,Student,Priviledged Group,4,Yes,5,No,No,Yes,Maybe,3,"Making sepearte bodies to maitain environmental laws, just like police for civil laws"
9/29/2021 12:54:10,17,Female,10th,Student,Upper Middle Class,4,Maybe,4,No,No,Yes,No,4,"Educating people more on the broader aspects like ""Why is environment protection even needed?"""""
9/29/2021 12:55:19,18,Male,12th,Student,Upper Middle Class,5,Yes,5,No,No,Maybe,Yes,2,"Making sepearte bodies to maitain environmental laws, just like police for civil laws"
9/29/2021 13:09:36,18,Female,12th,Student,Upper Middle Class,4,Maybe,5,No,No,Yes,No,3,"Educating people more on the broader aspects like ""Why is environment protection even needed?"""""
9/29/2021 13:32:38,24,Female,Post Graduate,Student,Upper Middle Class,3,Maybe,5,No,No,Yes,No,5,"I think 2nd,3rd and 4th points are all equally necessary. "
9/29/2021 13:46:58,17,Prefer not to say,12th,Student,Upper Middle Class,7,Yes,5,No,No,Yes,Maybe,4,"Educating people more on the broader aspects like ""Why is environment protection even needed?"""""
9/29/2021 13:48:36,20,Male,12th,Student,Upper Middle Class,6,Yes,5,No,No,Yes,No,5,Increasing the penalty for violation
9/29/2021 19:11:45,27,Female,Post Graduate,Full Time Job,Upper Middle Class,5,No,3,Maybe,No,Maybe,No,3,"Educating people more on the broader aspects like ""Why is environment protection even needed?"""""
9/29/2021 19:23:16,18,Female,12th,Student,Upper Middle Class,4,Yes,3,No,No,Yes,Yes,4,Educating people better on the need of Environmental Laws
9/29/2021 19:24:23,22,Female,Post Graduate,Student,Upper Middle Class,3,Yes,5,No,No,Yes,Yes,4,"Educating people more on the broader aspects like ""Why is environment protection even needed?"""""
9/29/2021 19:56:11,24,Female,Post Graduate,Student,Upper Middle Class,5,Yes,5,No,No,Yes,Yes,5,"Making sepearte bodies to maitain environmental laws, just like police for civil laws"
9/29/2021 20:04:45,24,Female,Post Graduate,Full Time Job,Upper Middle Class,4,Yes,5,No,No,Yes,Yes,5,"Educating people more on the broader aspects like ""Why is environment protection even needed?"""""
9/29/2021 20:06:31,23,Male,Post Graduate,Student,Lower Middle Class,4,Maybe,3,No,No,Maybe,Yes,3,"Educating people more on the broader aspects like ""Why is environment protection even needed?"""""
9/29/2021 20:31:40,16,Male,12th,Student,Upper Middle Class,6,No,3,Maybe,No,Maybe,No,4,"Compeltely clueless about these environmental laws, so I can't give any definite answer."
9/29/2021 23:02:15,20,Male,12th,Student,Lower Middle Class,4,Yes,3,No,No,No,No,4,"Educating people more on the broader aspects like ""Why is environment protection even needed?"""""
9/30/2021 0:30:19,22,Female,Graduate,Student,Upper Middle Class,3,No,5,No,No,Yes,No,5,Increasing the penalty for violation
9/30/2021 7:33:18,24,Female,Post Graduate,Student,Lower Middle Class,5,Maybe,4,No,No,Maybe,No,5,Increasing the penalty for violation
9/30/2021 10:51:12,17,Female,10th,Student,Lower Middle Class,4,Yes,5,No,No,Maybe,Yes,3,"Educating people more on the broader aspects like ""Why is environment protection even needed?"""""
9/30/2021 17:47:22,19,Male,12th,Student,EWS,3,Yes,5,Maybe,Yes,Yes,Yes,5,"Educating people more on the broader aspects like ""Why is environment protection even needed?"""""
9/30/2021 20:26:15,20,Male,Graduate,Student,Lower Middle Class,4,No,5,No,No,Yes,No,5,"Making sepearte bodies to maitain environmental laws, just like police for civil laws"
9/30/2021 21:39:47,20,Male,12th,Student,Lower Middle Class,5,No,4,Yes,Yes,No,Yes,4,"Educating people more on the broader aspects like ""Why is environment protection even needed?"""""
9/30/2021 22:10:35,20,Male,12th,Student,Lower Middle Class,4,No,4,Maybe,Yes,No,Yes,4,"Making sepearte bodies to maitain environmental laws, just like police for civil laws"
10/1/2021 1:00:41,27,Male,Graduate,Full Time Job,Upper Middle Class,6,Maybe,4,No,No,Yes,No,2,"Educating people more on the broader aspects like ""Why is environment protection even needed?"""""